year_month_str,year_month_dt,Rate,insei_indobert_final,insei_indolem_final,insei_mdeberta_final,insei_gemini_final
2021-09,2021-09-01,-0.04,55.529632884321096,54.914875563896814,55.122807590267264,53.91174911729112
2021-10,2021-10-01,0.12,53.72974234487219,52.00801719920602,53.07598161135245,51.537703670765715
2021-11,2021-11-01,0.37,57.875068743545285,56.530736284242366,56.03520205981813,54.44331671771474
2021-12,2021-12-01,0.57,61.22078224267884,60.088578771879,62.66920106451355,61.003417381721185
2022-01,2022-01-01,0.56,64.36165387825595,63.54613483702478,65.67969739094988,65.45702607335487
2022-02,2022-02-01,-0.02,66.60409483709117,65.41377022518284,68.70748946323829,66.71599723964076
2022-03,2022-03-01,0.66,67.48060080250508,67.13830723002317,68.21410908950837,67.07139182683851
2022-04,2022-04-01,0.95,67.18553351864554,66.87515440722454,67.86070460006522,66.67991826132959
2022-05,2022-05-01,0.4,69.63856521251637,68.6320220741587,68.80977200431626,69.79651613711334
2022-06,2022-06-01,0.61,73.5462138874658,70.92881877162134,71.39688175990864,71.01678840292118
2022-07,2022-07-01,0.64,74.33267442960674,71.97773457560358,72.75590202329192,72.27919471706517
2022-08,2022-08-01,-0.21,73.52532589723421,71.82360209684612,72.87780351423147,71.17384377411702
2022-09,2022-09-01,1.17,71.35517574744156,68.81525027359302,70.77700798383086,69.49518233546392
2022-10,2022-10-01,-0.11,73.06522845173629,69.80178242223388,70.69691240014518,70.18415591418398
2022-11,2022-11-01,0.09,74.49172156630704,69.84666506110136,71.42502574694028,70.60112783267977
2022-12,2022-12-01,0.66,74.04909160581154,69.68068003595059,70.83797413440999,70.55393250805042
2023-01,2023-01-01,0.34,69.542351552529,66.73561159285823,67.97315739869418,66.11058713693085
2023-02,2023-02-01,0.16,63.15139484485032,59.85215005691328,60.60367911987871,58.36999645061809
2023-03,2023-03-01,0.18,55.277886069490854,50.817210598649005,51.19395706630662,49.65625532909308
2023-04,2023-04-01,0.33,53.814976965459465,47.82119527270166,49.033914443401066,48.024033774105106
2023-05,2023-05-01,0.09,52.666367375412136,47.299639809109834,47.56878065812451,48.117754431932234
2023-06,2023-06-01,0.14,52.93935281320156,48.52957629476855,48.23066720449391,49.43352098149228
2023-07,2023-07-01,0.21,51.24521387680171,46.14378237419405,45.71727017093755,46.5366514960347
2023-08,2023-08-01,-0.02,51.073712985625164,45.80377303964984,46.099727961080774,47.01788873789023
2023-09,2023-09-01,0.19,48.93927744017859,42.96475718429442,43.86625239661245,42.91045235616056
2023-10,2023-10-01,0.17,51.44598855763648,46.58462917802292,46.848975406874374,47.49569745237421
2023-11,2023-11-01,0.38,53.19094276213,48.25887942572512,48.831304092512475,47.92403976586617
2023-12,2023-12-01,0.41,58.498005594428136,55.61583865436961,55.99767894169088,55.47518571113667
2024-01,2024-01-01,0.04,54.86129791646944,51.53533160722617,52.76278068181211,50.69491794474151
2024-02,2024-02-01,0.37,52.84489523350377,49.74468196925449,50.08323899469299,50.111291960895215
2024-03,2024-03-01,0.52,50.067324182558465,45.850319591992005,46.60085262458211,46.403619929259314
2024-04,2024-04-01,0.25,51.51953317877277,46.7779188710487,47.567968751389074,47.828484339484305
2024-05,2024-05-01,-0.03,53.53553759633535,49.04069792555963,49.61471772876473,50.13778213557322
2024-06,2024-06-01,-0.08,56.295631887837175,53.33846001081905,53.348105890382165,54.782294267881625
2024-07,2024-07-01,-0.18,55.37413806913886,53.17233162825331,52.27708814942954,55.14679843237584
2024-08,2024-08-01,-0.03,53.12165761352695,50.8162973265573,50.49516253282497,52.71148178769209
2024-09,2024-09-01,-0.12,46.06269474877446,44.20656916218112,43.700832910312094,46.072557961120374
2024-10,2024-10-01,0.08,42.18860613429745,42.10859563979169,40.48900169468025,41.76161891047457
2024-11,2024-11-01,0.3,37.41611835808052,37.552144137796205,35.87922477904151,36.232642739542584
2024-12,2024-12-01,0.44,35.17138597057538,34.4805926279259,33.58515740520009,33.21674763867893
2025-01,2025-01-01,-0.76,39.72737307988158,38.45003416103976,39.640197214208854,39.167736507572826
2025-02,2025-02-01,-0.48,44.524078287632605,45.09757012569693,45.60459048459602,46.64190645396438
2025-03,2025-03-01,1.65,50.17171647975721,49.95407674340521,50.91759948602872,52.15086221491552
2025-04,2025-04-01,1.17,49.32856908017418,48.643142477432534,48.49280860671783,49.46653225857657
2025-05,2025-05-01,-0.37,48.073079916077376,45.93262102967774,46.46088208829776,47.35848889329846
2025-06,2025-06-01,0.19,49.25537447234821,47.96690296414558,47.15927434564187,48.47588393884052
2025-07,2025-07-01,0.3,48.14313771094756,46.32118431202501,46.30118324035378,47.74187738511682
2025-08,2025-08-01,-0.08,44.25226578796135,41.79696337634689,42.23500941316421,42.06945039141601
2025-09,2025-09-01,0.21,43.69064025382296,40.177723936202824,41.41369422553411,39.88528879176437
2025-10,2025-10-01,0.28,43.20446565150834,40.17410871506894,41.441606032953494,40.66679346802855
